[Node 1] 2025/12/09 02:23:25.366095 Node 1: initializing at localhost:8001 with 9 peers
[Node 1] 2025/12/09 02:23:25.366747 [Database] opening BoltDB at data/node-1.db
[Node 1] 2025/12/09 02:23:25.388063 Node 1: BoltDB initialized at data/node-1.db
[Node 1] 2025/12/09 02:23:25.388162 Node 1: no shard overrides loaded (open config/overrides.json: no such file or directory)
[Node 1] 2025/12/09 02:23:25.388200 [Database] client 1 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.388204 Node 1: leader timeout monitor running
[Node 1] 2025/12/09 02:23:25.394934 [Database] client 2 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.401124 [Database] client 3 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.407951 [Database] client 4 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.414905 [Database] client 5 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.421912 [Database] client 6 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.428925 [Database] client 7 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.435891 [Database] client 8 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.443046 [Database] client 9 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.449925 [Database] client 10 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.456957 [Database] client 11 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.463947 [Database] client 12 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.470928 [Database] client 13 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.477935 [Database] client 14 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.484929 [Database] client 15 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.491925 [Database] client 16 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.498951 [Database] client 17 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.506038 [Database] client 18 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.512982 [Database] client 19 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.519985 [Database] client 20 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.526960 [Database] client 21 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.533945 [Database] client 22 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.540975 [Database] client 23 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.548001 [Database] client 24 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.555014 [Database] client 25 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.561917 [Database] client 26 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.568972 [Database] client 27 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.576004 [Database] client 28 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.582982 [Database] client 29 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.589983 [Database] client 30 initialized with balance 10 (bolt)
[Node 1] 2025/12/09 02:23:25.596924 [Database] client 31 initialized with balance 10 (bolt)
