[Node 4] 2025/12/09 18:27:33.105386 Node 4: initializing at localhost:8004 with 9 peers
[Node 4] 2025/12/09 18:27:33.111803 [Database] opening BoltDB at data/node-4.db
[Node 4] 2025/12/09 18:27:33.180367 Node 4: BoltDB initialized at data/node-4.db
[Node 4] 2025/12/09 18:27:33.180788 Node 4: no shard overrides loaded (open config/overrides.json: no such file or directory)
[Node 4] 2025/12/09 18:27:33.184680 [Database] client 3001 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.184684 Node 4: leader timeout monitor running
[Node 4] 2025/12/09 18:27:33.207354 [Database] client 3002 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.226315 [Database] client 3003 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.243369 [Database] client 3004 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.258492 [Database] client 3005 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.276398 [Database] client 3006 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.297380 [Database] client 3007 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.313348 [Database] client 3008 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.327360 [Database] client 3009 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.344309 [Database] client 3010 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.361358 [Database] client 3011 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.378445 [Database] client 3012 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.396286 [Database] client 3013 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.412365 [Database] client 3014 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.430407 [Database] client 3015 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.447327 [Database] client 3016 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.464382 [Database] client 3017 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.481336 [Database] client 3018 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.501321 [Database] client 3019 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.520345 [Database] client 3020 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.542384 [Database] client 3021 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.558520 [Database] client 3022 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.575393 [Database] client 3023 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.591431 [Database] client 3024 initialized with balance 10 (bolt)
[Node 4] 2025/12/09 18:27:33.607472 [Database] client 3025 initialized with balance 10 (bolt)
