[Node 3] 2025/12/10 12:35:13.192395 Node 3: initializing at localhost:8003 with 9 peers
[Node 3] 2025/12/10 12:35:13.200408 [Database] opening BoltDB at data/node-3.db
[Node 3] 2025/12/10 12:35:13.260128 Node 3: BoltDB initialized at data/node-3.db
[Node 3] 2025/12/10 12:35:13.260336 Node 3: no shard overrides loaded (open config/overrides.json: no such file or directory)
[Node 3] 2025/12/10 12:35:13.260366 [Database] client 1 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.260394 Node 3: leader timeout monitor running
[Node 3] 2025/12/10 12:35:13.274055 [Database] client 2 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.293157 [Database] client 3 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.311013 [Database] client 4 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.330044 [Database] client 5 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.343165 [Database] client 6 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.361149 [Database] client 7 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.376030 [Database] client 8 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.395200 [Database] client 9 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.410091 [Database] client 10 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.429094 [Database] client 11 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.444100 [Database] client 12 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.463154 [Database] client 13 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.481027 [Database] client 14 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.499057 [Database] client 15 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.517215 [Database] client 16 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.537077 [Database] client 17 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.555148 [Database] client 18 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.571083 [Database] client 19 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.588060 [Database] client 20 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.605062 [Database] client 21 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.621111 [Database] client 22 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.641081 [Database] client 23 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.661077 [Database] client 24 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.681031 [Database] client 25 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.697054 [Database] client 26 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.717154 [Database] client 27 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.737205 [Database] client 28 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.756112 [Database] client 29 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.772059 [Database] client 30 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.792150 [Database] client 31 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.811159 [Database] client 32 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.828154 [Database] client 33 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.845164 [Database] client 34 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.862155 [Database] client 35 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.881102 [Database] client 36 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.900155 [Database] client 37 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.918227 [Database] client 38 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.935162 [Database] client 39 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.952180 [Database] client 40 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.973151 [Database] client 41 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:13.994128 [Database] client 42 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.015097 [Database] client 43 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.038118 [Database] client 44 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.052123 [Database] client 45 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.070051 [Database] client 46 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.087150 [Database] client 47 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.104152 [Database] client 48 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.121053 [Database] client 49 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.138225 [Database] client 50 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.157096 [Database] client 51 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.176022 [Database] client 52 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.194102 [Database] client 53 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.212117 [Database] client 54 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.230068 [Database] client 55 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.245068 [Database] client 56 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.263137 [Database] client 57 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.281095 [Database] client 58 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.299110 [Database] client 59 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.314033 [Database] client 60 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.331089 [Database] client 61 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.344087 [Database] client 62 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.360061 [Database] client 63 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.374135 [Database] client 64 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.392176 [Database] client 65 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.407089 [Database] client 66 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 12:35:14.424060 [Database] client 67 initialized with balance 10 (bolt)
